msno,city,bd,gender,registered_via,registration_init_time,expiration_date,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,is_churn
stBalzWUP3HmiKPW6PoarmyG6wSnLYUxJzAkj9rNJzw=,5,24,female,9,20120301,20170911,20160517,0,0,0,0,16,15,4282.763,36,30,150,150,0,20151102,20151202,0,1
i2B9In7K03UhHtV4PHc0ntP9t9XNfJ+IyCXM8tGy/9A=,13,34,female,9,20060106,20170916,20160108,2,0,1,0,8,10,1830.975,40,30,149,149,1,20160312,20160411,0,0
JHIW++D91fUw/0GtCQ7Tsogh8hG5BWvZf0nITnMxT/w=,13,30,male,9,20061024,20170930,20150623,1,1,0,0,4,3,1277.621,34,0,0,149,1,20150630,20150731,0,0
x/WBN5eVLWRnZRBGKnUDZRjsK59PiLiVp0+5Dt1GwUg=,6,24,female,9,20110919,20170222,20160521,9,1,0,1,72,69,18315.424,38,30,149,149,0,20160426,20160526,0,1
bTplk9So0DEFLPHSxRyI8/vo4P7EBhkxkamyFYjjw68=,16,29,female,3,20120913,20171008,20150521,0,0,0,0,57,42,15156.324,34,0,0,149,1,20150930,20151031,0,0
Hh3yEEn+ZW1ANWp80G87Tu7zdFmg8GeL3KRyXRbB9m4=,15,28,male,9,20071021,20170930,20161220,14,2,0,0,16,19,3777.285,33,30,149,149,1,20160930,20161031,0,0
RD0gSLKV3lc+uL5X0dCqpZnHaTBhvK1PbyBI8K2eDWM=,5,31,female,9,20111109,20170913,20150424,0,0,0,0,9,1,2516.778,36,30,180,180,1,20161214,20170113,0,0
ymB5iVlsFyumKy8roOfUhFOgjo9+O85IEsTf4XOwZUI=,5,25,male,9,20091029,20170911,20161020,8,1,0,1,63,70,16999.569,37,30,149,149,1,20160511,20160611,0,0
xykzp3SBlj881kjkgkHCiycnWXAg9bL0LOWZ+n4rmYA=,15,32,male,3,20131209,20170928,20170207,2,2,0,1,19,4,5620.723,40,31,149,149,1,20150228,20150328,0,0
Xx5hsWFGMF/MALzsdE77PZJ0hNrl97GckcN6MShdxI0=,5,48,male,3,20150418,20171024,20161204,1,0,0,0,14,15,3452.836,36,30,150,150,0,20150910,20151010,0,0
ewRGCf6Xh24Df0uxPDv0AQTX9PXc5a8KkdpYlXuY8cY=,4,45,male,7,20160105,20170115,20160521,3,3,2,0,10,17,2751.201,41,30,99,99,1,20160405,20160505,0,1
wNtS0h+7NA31btXKV0xeQ2yiB0LJTRIHt+NyXD6mtlw=,5,45,female,9,20100924,20170613,20170114,1,0,0,0,12,11,2672.462,38,30,149,149,0,20160417,20160517,0,1
iRe9X/MwGWvAF7m8e1q20l/Y6b37V0knbnsKSaMtE2c=,4,25,male,9,20120201,20170902,20150121,0,0,0,0,579,21,140628.93,37,30,149,149,1,20150801,20150902,0,0
nKt5UKU7HLR8bjEJBKrU1YgH31FEtCyPBEHwNSh2sEQ=,5,48,female,3,20120806,20170217,20161204,4,2,2,0,12,8,2964.35,40,30,149,149,1,20151009,20151108,0,1
JAtdZ1Mdbqy1VPy7mBRBUCUj6poz66LOLGPf1ejVc+Y=,5,30,female,7,20110605,20170218,20150513,0,0,0,0,45,43,11850.949,41,30,129,129,1,20151204,20160105,0,1
sLDLSwzsMwwa5UpCy8g/WFaNPrfFb1oZvbXaANKw4QM=,13,28,female,9,20120703,20170610,20160609,1,0,0,0,7,7,1717.431,40,30,149,149,1,20150906,20151009,0,1
RqR2ziOVs/64pwSrzMfBf2ANKIhnbfB3HZrx0m3JO/g=,13,22,female,3,20120812,20170401,20150716,4,1,0,0,3,8,843.348,40,30,149,149,1,20160702,20160801,0,0
wg/rWDCKPoVjNfqynXdndcVnFlvmx5zlsC75IcwrIJY=,15,20,female,7,20141012,20171001,20150410,0,0,0,0,5,1,949.81,41,30,149,149,1,20161011,20161111,0,0
UT/gpG++ydXwL91Q2Ivt7Wq62xi7MFmIewqYZ+mBD4s=,18,40,female,9,20061207,20170917,20160513,7,0,1,1,0,8,403.553,40,30,149,149,1,20151119,20151220,0,1
JbV71w2JqxYIYB1vo6Nrmae1KMujP+3vMloDmmOu9wE=,22,21,male,9,20110316,20170915,20161213,4,0,0,1,30,30,8232.291,38,30,149,149,0,20151112,20151212,0,1
e7S6vQ2XbESvSlKhzaFCCfgzP1Lh5ylXf7THXyYiAv8=,5,36,male,9,20070320,20170205,20150825,0,1,0,0,0,1,101.796,39,30,149,149,1,20150707,20150823,1,1
KYwQksX56a4EmXDxc+BtvNzmr7Ht69n/bJ8fp5qVCdg=,14,30,male,3,20121207,20171003,20161114,0,0,0,0,1,1,170.109,39,30,149,149,1,20150531,20150703,0,0
JB8ehHeze/7Vt/AZPfEoESKqgW1GEKCBVTucjPN3T9E=,14,19,male,7,20131107,20170909,20160915,2,1,0,0,66,68,16448.465,38,30,149,149,0,20160215,20160316,0,1
bJANYw/jIKVjF4zLSyd2+4Yz2ytRaQDSucT/czvuIKY=,15,28,male,9,20060704,20170930,20170228,2,0,0,0,12,12,3008.3,34,30,149,149,1,20160731,20160831,0,0
93RBufrtqM/kATLLXk7DER/Ab0JrIfkzx2i5bqWU7AA=,21,29,female,9,20061220,20171003,20160619,3,1,1,0,11,16,3060.59,33,30,149,149,1,20160331,20160430,0,0
PaEYc2Uwf7rFGO4guIAXd6qztKdJ/XAIMBDjJMGxFHI=,5,26,male,3,20140424,20170919,20150209,7,1,1,0,21,16,4848.97,37,30,149,149,1,20151218,20160117,0,0
r5rGW8v3pdXuHJjUP+ij8KRjm6dcx+wWq8vrfuxz07Q=,5,25,male,9,20130405,20170228,20151128,4,1,0,1,90,70,22146.2,38,30,149,149,0,20151205,20160104,0,1
Sf8OSWoFkT2Dt/1yJpGZPiqhi+2Ye6gSYww7zX2gEhM=,15,27,female,9,20100225,20171007,20151021,2,0,0,0,197,105,45142.563,36,30,180,180,0,20160831,20160930,0,0
8V1PYzBOqUzPAPcUSgPEnvfk101eXggM8UyvJjASS8I=,5,24,female,3,20130801,20170407,20161121,14,0,1,0,35,50,8391.024,40,0,0,149,1,20150426,20150525,0,0
hotrRWWId54A8kowucsWHmSr7QTTSYUxJwjlElV9Sd0=,5,28,male,9,20121109,20170925,20170216,9,1,0,4,14,25,4221.914,40,30,149,149,1,20160425,20160524,0,0
ENsMukVV2N9871FRV3GKywKekLqYghfBkuM8PFbJPI8=,14,32,male,9,20140219,20171008,20170205,1,0,0,2,17,16,4484.789,38,30,149,149,0,20160324,20160423,0,1
