msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
Jn2bF5XLZvwEoiMz2SHrMj76PbQ+Bxrv3eVHDCrDz38=,20161226,0,1,0,0,7,8,1751.316
Jn2bF5XLZvwEoiMz2SHrMj76PbQ+Bxrv3eVHDCrDz38=,20161104,0,2,2,1,19,24,5381.688
Jn2bF5XLZvwEoiMz2SHrMj76PbQ+Bxrv3eVHDCrDz38=,20170219,7,0,0,2,8,16,2608.842
Jn3F4FofTdAa6+4nd7CzQBk+HYNUTCuiJ+KeCyeCSoo=,20170108,13,1,0,1,8,23,2385.95
Jn3F4FofTdAa6+4nd7CzQBk+HYNUTCuiJ+KeCyeCSoo=,20160929,0,0,0,0,4,4,1148.0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,20161222,0,2,1,0,9,12,2168.482
JnBjxOwFq0iWt2+e/7S4B/6XCBT8L7PIabGXIZcaelA=,20161228,19,11,2,4,91,63,21759.4
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,20150222,2,0,0,0,30,31,7510.976
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,20150703,5,0,0,1,112,99,27513.049
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,20150928,14,7,5,3,4,23,3840.72
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,20151230,1,0,0,0,7,8,1864.7720000000002
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,20160226,21,4,1,2,69,40,16878.974
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,20160515,1,0,1,0,1,2,358.626
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20160716,12,5,0,3,75,47,18299.52
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20151024,0,0,0,0,168,107,37660.758
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20150904,0,0,0,0,29,7,7614.615
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20150523,1,1,1,2,165,133,39805.574
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20150714,0,0,0,0,37,12,8937.709
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20160523,3,4,0,0,98,83,23048.917999999998
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20160203,5,1,2,0,92,43,23379.859
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20160328,4,3,1,0,17,23,4479.137
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20151214,2,2,0,0,24,28,5572.049
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20170221,0,0,0,0,4,1,1035.2839999999999
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20161228,0,0,0,0,8,1,2321.344
JnPG5tp6oKHICKsl2GCMgz/aDuYWKb/1VVNIFdfKTII=,20161103,13,2,3,2,22,42,7257.941
