num_of_logs,sum_num25,avg_num25,sum_num50,avg_num50,sum_num75,avg_num75,sum_num985,avg_num985,sum_num100,avg_num100,sum_num_unq,avg_num_unq,sum_total_secs,avg_total_secs,sum_total_songs,avg_total_songs,perc_of_accidentally_songs,perc_of_favourite_songs,avg_songs_per_month,avg_days_diff,max_days_diff,min_days_diff,most_popular_days,least_popular_days,most_popular_season,least_popular_season,msno
11,112,10.181818181818182,31,2.8181818181818183,23,2.090909090909091,30,2.727272727272727,207,18.818181818181817,305,27.727272727272727,62958.73100000001,5723.521000000001,403,36.63636363636363,0.27791563275434245,0.5136476426799007,403.0,23.636363636363637,56.0,2.0,3,1,2,2,k6eJ3xRzpnAkLsdWp4fFsiN7loavl/agmfrUdvFCJQI=
17,91,5.352941176470588,59,3.4705882352941178,46,2.7058823529411766,15,0.8823529411764706,480,28.235294117647058,488,28.705882352941178,136858.387,8050.4933529411755,691,40.64705882352941,0.1316931982633864,0.6946454413892909,691.0,22.941176470588236,54.0,2.0,3,1,2,2,mDKq91Oh/6Xf9M8diUwkngAmESHOodRWfPYICPb5pCk=
16,45,2.8125,9,0.5625,8,0.5,8,0.5,110,6.875,174,10.875,33818.193,2113.6370625,180,11.25,0.25,0.6111111111111112,180.0,17.75,48.0,2.0,3,1,2,2,gXdMWngaV19y8Q58XauCO7K9eImYEuAj1omfKWo16j0=
2,9,4.5,0,0.0,0,0.0,1,0.5,16,8.0,26,13.0,3750.323,1875.1615,26,13.0,0.34615384615384615,0.6153846153846154,26.0,11.0,22.0,0.0,2,2,2,2,HvF3jxKYlcwLsm8gyaHSFak+GG0rezgvHeZQl4Us4Ig=
17,26,1.5294117647058822,4,0.23529411764705882,4,0.23529411764705882,12,0.7058823529411765,106,6.235294117647059,102,6.0,29760.377,1750.610411764706,152,8.941176470588236,0.17105263157894737,0.6973684210526315,152.0,21.294117647058822,50.0,2.0,3,1,2,2,SWeWAl/aiYcfcc6QMsKD2A31LRFPG9kFOBKfgwSHHv8=
4,18,4.5,7,1.75,3,0.75,5,1.25,17,4.25,48,12.0,6715.285,1678.82125,50,12.5,0.36,0.34,50.0,6.0,12.0,2.0,3,1,2,2,KA5dMRsM07XXxKpfhxTlwV1yfBr6YTYTeG1/HoHT2oE=
13,45,3.4615384615384617,8,0.6153846153846154,3,0.23076923076923078,4,0.3076923076923077,66,5.076923076923077,81,6.230769230769231,19878.287,1529.099,126,9.692307692307692,0.35714285714285715,0.5238095238095238,126.0,18.615384615384617,52.0,0.0,3,1,2,2,KBuWswtb9xWJyaGGG+jwsrpxQAyDZs2Nl+fCinDD2rk=
18,55,3.0555555555555554,18,1.0,12,0.6666666666666666,6,0.3333333333333333,180,10.0,225,12.5,50291.91799999999,2793.9954444444443,271,15.055555555555555,0.2029520295202952,0.6642066420664207,271.0,18.77777777777778,52.0,0.0,3,1,2,2,ag0vLQx9oskpyF5PkeiPaBhzAgQFf5T91+rc1uk58Ck=
22,41,1.8636363636363635,1,0.045454545454545456,2,0.09090909090909091,3,0.13636363636363635,649,29.5,665,30.227272727272727,143135.77799999996,6506.171727272726,696,31.636363636363637,0.05890804597701149,0.9324712643678161,696.0,14.545454545454545,28.0,0.0,3,1,2,2,YI0ryhHWui9Mv97DSK2sdjvQCJRJfoOhDjAid+qwz5k=
20,19,0.95,1,0.05,4,0.2,20,1.0,1346,67.3,605,30.25,309885.816,15494.290799999999,1390,69.5,0.013669064748201438,0.9683453237410072,1390.0,23.1,46.0,4.0,3,1,2,2,ptxRpqP2bzeecsLU94NMbMUz0g5T20iAjJ5hwlk+3ik=
11,18,1.6363636363636365,5,0.45454545454545453,5,0.45454545454545453,5,0.45454545454545453,246,22.363636363636363,236,21.454545454545453,66476.99299999999,6043.363,279,25.363636363636363,0.06451612903225806,0.8817204301075269,279.0,25.272727272727273,58.0,4.0,2,1,2,2,EHIq5HXqb5bzjp3w0oayFvlfrY6ybA5foakvcVKpTZ8=
27,33,1.2222222222222223,13,0.48148148148148145,12,0.4444444444444444,11,0.4074074074074074,553,20.48148148148148,478,17.703703703703702,136535.12099999998,5056.856333333334,622,23.037037037037038,0.05305466237942122,0.8890675241157556,622.0,21.85185185185185,52.0,0.0,3,1,2,2,3ICfhBAzTOHbKy4+uXa94lT1Jk2Hn/AvIBKvykuUYZU=
5,18,3.6,9,1.8,6,1.2,5,1.0,271,54.2,227,45.4,62359.114,12471.8228,309,61.8,0.05825242718446602,0.8770226537216829,309.0,30.0,58.0,4.0,3,1,2,2,xFZwDmIqFBDck2AXdIKBCRXtpqKUgMpK74zOP+evsxg=
2,2,1.0,0,0.0,0,0.0,0,0.0,4,2.0,6,3.0,1168.403,584.2015,6,3.0,0.3333333333333333,0.6666666666666666,6.0,21.0,24.0,18.0,3,1,2,2,vZNBMDk/lFHY1GJj1iYFksoOrTzlWLn9D3JtDHTOsoQ=
28,1663,59.392857142857146,187,6.678571428571429,132,4.714285714285714,114,4.071428571428571,342,12.214285714285714,1931,68.96428571428571,147933.699,5283.346392857143,2438,87.07142857142857,0.6821164889253486,0.140278917145201,2438.0,20.857142857142858,56.0,2.0,3,1,2,2,wHfD7e0+WowNr6NSYMpkiTkgPsDQbfC6dNSGsN+JLa4=
4,52,13.0,40,10.0,9,2.25,9,2.25,29,7.25,93,23.25,13877.675,3469.41875,139,34.75,0.37410071942446044,0.20863309352517986,139.0,18.0,28.0,2.0,2,2,2,2,WIfqWIyAi/EhoJb/JRwWC0+gdrVbIhpXIdaF/K89hAo=
31,139,4.483870967741935,38,1.2258064516129032,37,1.1935483870967742,44,1.4193548387096775,1002,32.32258064516129,1119,36.096774193548384,271131.76300000004,8746.185903225805,1260,40.645161290322584,0.11031746031746031,0.7952380952380952,1260.0,19.806451612903224,48.0,0.0,3,1,2,2,SSrPD7LI0r+RnLibecKT6KgJVPqxA8UGdR4u2ivhnXM=
1,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,159.847,159.847,3,3.0,0.6666666666666666,0.0,3.0,24.0,24.0,24.0,3,3,2,2,abxbp5U3i0VXapkS0j0pNCWdwXILyW1XVfSw57RrhlA=
2,8,4.0,1,0.5,5,2.5,1,0.5,123,61.5,74,37.0,31317.606,15658.803,138,69.0,0.057971014492753624,0.8913043478260869,138.0,7.0,8.0,6.0,3,2,2,2,UKpM7rxRVe20aWG9Szxipnn28K12Qmd1Q4N88xQR+kw=
26,49,1.8846153846153846,17,0.6538461538461539,7,0.2692307692307692,8,0.3076923076923077,237,9.115384615384615,156,6.0,68093.76900000001,2618.9911153846156,318,12.23076923076923,0.1540880503144654,0.7452830188679245,318.0,22.692307692307693,48.0,0.0,3,1,2,2,SlkO+CgygX3L+g+xA8XbvApCyd+CJcNPXNY5HKrdPoM=
27,10,0.37037037037037035,1,0.037037037037037035,1,0.037037037037037035,3,0.1111111111111111,542,20.074074074074073,523,19.37037037037037,141281.464,5232.646814814815,557,20.62962962962963,0.017953321364452424,0.9730700179533214,557.0,19.185185185185187,54.0,0.0,3,1,2,2,xJ9f/MApwt5CkuCSYJxYIJOQCR8SOzVf3Yk+2BBMuMc=
8,15,1.875,1,0.125,0,0.0,0,0.0,336,42.0,327,40.875,75864.538,9483.06725,352,44.0,0.04261363636363636,0.9545454545454546,352.0,23.5,54.0,2.0,3,1,2,2,jRAUSPr0wR7hDFVbNX5eIU7s/qtjCwUAEZKIzGK/HtM=
24,19,0.7916666666666666,3,0.125,2,0.08333333333333333,17,0.7083333333333334,661,27.541666666666668,607,25.291666666666668,161408.671,6725.361291666665,702,29.25,0.027065527065527065,0.9415954415954416,702.0,23.5,60.0,0.0,3,1,2,2,6kocJYE9Er4dm6WE1PxUVG16+QOmNwj6CFQI9KU5cMw=
3,3,1.0,2,0.6666666666666666,0,0.0,0,0.0,15,5.0,20,6.666666666666667,3709.3959999999997,1236.4653333333333,20,6.666666666666667,0.15,0.75,20.0,24.666666666666668,38.0,8.0,2,1,2,2,72iCrZ7nFycJoty6/C/EPmzUX1GoYRvDtnp48AM02VE=
28,249,8.892857142857142,164,5.857142857142857,67,2.392857142857143,31,1.1071428571428572,339,12.107142857142858,570,20.357142857142858,118292.87100000001,4224.745392857143,850,30.357142857142858,0.29294117647058826,0.3988235294117647,850.0,19.785714285714285,60.0,2.0,3,1,2,2,8bhVENo7NVrDLGhbGAT4wwRRJEzmU/rCcK5Yik4EmMI=
14,28,2.0,6,0.42857142857142855,4,0.2857142857142857,7,0.5,242,17.285714285714285,237,16.928571428571427,62116.238000000005,4436.874142857143,287,20.5,0.0975609756097561,0.8432055749128919,287.0,19.428571428571427,38.0,0.0,3,1,2,2,vD6jRLtHV+8SNzkr68RCcJLPmze4EvUXnlc6LdfSQpo=
3,4,1.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,22,7.333333333333333,31,10.333333333333334,6645.492000000001,2215.164,31,10.333333333333334,0.12903225806451613,0.7096774193548387,31.0,12.666666666666666,20.0,8.0,2,1,2,2,/5ZptMuyelc0OJliLluXqwIcfPdO/KgpYBFGNFsqL3A=
31,62,2.0,16,0.5161290322580645,9,0.2903225806451613,31,1.0,3967,127.96774193548387,1921,61.96774193548387,953691.1609999997,30764.230999999996,4085,131.7741935483871,0.015177478580171358,0.9711138310893512,4085.0,23.35483870967742,52.0,2.0,3,1,2,2,aUDF0qSVgBO291OAYTox/fUL8DKWtFjKayIdRZIPR3g=
24,36,1.5,9,0.375,10,0.4166666666666667,8,0.3333333333333333,440,18.333333333333332,179,7.458333333333333,121143.99299999999,5047.666375,503,20.958333333333332,0.07157057654075547,0.8747514910536779,503.0,21.333333333333332,58.0,0.0,3,1,2,2,1UcX79/xS0g7KJZ+D5QzSIbnb5IAEf7Z2xnXWEoqSmo=
27,91,3.3703703703703702,24,0.8888888888888888,13,0.48148148148148145,17,0.6296296296296297,992,36.74074074074074,393,14.555555555555555,257298.012,9529.556,1137,42.111111111111114,0.08003518029903255,0.872471416007036,1137.0,12.666666666666666,44.0,0.0,3,1,2,2,NNkZvuuj+AuEvVhkLGFlYq6+f9kzto7jMGDHBqS08Bw=
31,398,12.838709677419354,125,4.032258064516129,66,2.129032258064516,44,1.4193548387096775,653,21.06451612903226,1050,33.87096774193548,189167.67699999997,6102.183129032259,1286,41.483870967741936,0.3094867807153966,0.5077760497667185,1286.0,18.258064516129032,58.0,0.0,3,1,2,2,D/Ky/H7JT77Kd2hplTHnMqkU/zNI1ziOjwpzGY+JrNs=
31,366,11.806451612903226,144,4.645161290322581,123,3.967741935483871,114,3.6774193548387095,1486,47.935483870967744,1352,43.61290322580645,420868.2460000001,13576.395032258068,2233,72.03225806451613,0.1639050604567846,0.6654724585759069,2233.0,21.161290322580644,58.0,2.0,3,1,2,2,zoeS+wqTPMCbnc4ryIuthS3KP8/vvclHNQPDMHdDYhs=
2,3,1.5,0,0.0,0,0.0,0,0.0,110,55.0,26,13.0,31125.348999999995,15562.674499999997,113,56.5,0.02654867256637168,0.9734513274336283,113.0,24.0,26.0,22.0,3,2,2,2,RqBHYf6J56aTFkBUucKP71UtAjqbNXsRZYRx2crCT8A=
14,14,1.0,4,0.2857142857142857,1,0.07142857142857142,3,0.21428571428571427,266,19.0,256,18.285714285714285,67737.97,4838.426428571429,288,20.571428571428573,0.04861111111111111,0.9236111111111112,288.0,18.0,38.0,0.0,3,1,2,2,yL7MQH6wKL7CLN2IhEbIPY4pTliSlaoReaynMgelzfo=
1,1,1.0,0,0.0,0,0.0,0,0.0,26,26.0,20,20.0,6945.7390000000005,6945.7390000000005,27,27.0,0.037037037037037035,0.9629629629629629,27.0,42.0,42.0,42.0,3,3,2,2,1yd9fOVZVhdmRiBQSGNNIkt1auPjBJ1nSHWhVHLR9Fg=
23,132,5.739130434782608,20,0.8695652173913043,19,0.8260869565217391,28,1.2173913043478262,451,19.608695652173914,317,13.782608695652174,112825.134,4905.440608695652,650,28.26086956521739,0.20307692307692307,0.6938461538461539,650.0,19.043478260869566,46.0,2.0,3,1,2,2,Je8FN08ljjSWq0i6HPR2O0tbpO0PvnYpkBx/QRV61T4=
30,200,6.666666666666667,17,0.5666666666666667,21,0.7,20,0.6666666666666666,484,16.133333333333333,580,19.333333333333332,117937.61900000002,3931.2539666666676,742,24.733333333333334,0.2695417789757412,0.6522911051212938,742.0,21.2,42.0,2.0,3,1,2,2,VT70go3NGAWabomdgB8Y+t7JCx7kJ2gZ/M4O06VBM6Y=
21,58,2.761904761904762,28,1.3333333333333333,15,0.7142857142857143,57,2.7142857142857144,213,10.142857142857142,365,17.38095238095238,73088.89199999999,3480.4234285714283,371,17.666666666666668,0.15633423180592992,0.5741239892183289,371.0,20.857142857142858,56.0,4.0,3,1,2,2,m1ecjcWeSzOiUyDBPjfPG2/dADFFjJ/LlJwMQJMGtYI=
15,31,2.066666666666667,5,0.3333333333333333,3,0.2,9,0.6,101,6.733333333333333,107,7.133333333333334,30083.900999999998,2005.5934,149,9.933333333333334,0.2080536912751678,0.6778523489932886,149.0,16.933333333333334,34.0,2.0,3,1,2,2,Z119xQG3dH4/flNzj5HpSPtJ0Ucwfv/WyegK7wFKIMQ=
27,133,4.925925925925926,39,1.4444444444444444,39,1.4444444444444444,30,1.1111111111111112,602,22.296296296296298,712,26.37037037037037,165339.274,6123.676814814815,843,31.22222222222222,0.15776986951364175,0.7141162514827996,843.0,21.62962962962963,58.0,0.0,3,1,2,2,2mJulZlK256sMBg0Jw6z+Zq21s1OO2gKBn6Yx/a5C6M=
19,45,2.3684210526315788,9,0.47368421052631576,10,0.5263157894736842,13,0.6842105263157895,526,27.68421052631579,482,25.36842105263158,125163.08000000002,6587.530526315791,603,31.736842105263158,0.07462686567164178,0.8723051409618574,603.0,26.526315789473685,56.0,2.0,3,1,2,2,w8oEKWMjK0Sap6VTzUzd2rS/h4apo52wnWFfMqo7buM=
24,63,2.625,39,1.625,20,0.8333333333333334,15,0.625,212,8.833333333333334,299,12.458333333333334,64527.236999999994,2688.6348749999997,349,14.541666666666666,0.18051575931232092,0.6074498567335244,349.0,18.5,40.0,0.0,3,1,2,2,Hiw71XZQSoEe1I7pBhPWi3kIrP7Ss7pwExZgtqFmtYw=
23,167,7.260869565217392,58,2.5217391304347827,21,0.9130434782608695,18,0.782608695652174,367,15.956521739130435,566,24.608695652173914,104690.506,4551.761130434782,631,27.434782608695652,0.26465927099841524,0.5816164817749604,631.0,20.869565217391305,42.0,0.0,3,1,2,2,isWnqgbP4bydQa7hsCkZyaYaF5BmKhcR5f+SlU3Cao8=
1,3,3.0,0,0.0,0,0.0,1,1.0,4,4.0,6,6.0,1200.122,1200.122,8,8.0,0.375,0.5,8.0,22.0,22.0,22.0,2,2,2,2,ykq4R8FInuIMzCjoFd7CwWGK/jXzYcv5JiUPmcYDowk=
14,24,1.7142857142857142,6,0.42857142857142855,12,0.8571428571428571,5,0.35714285714285715,1288,92.0,963,68.78571428571429,329626.61300000007,23544.758071428572,1335,95.35714285714286,0.017977528089887642,0.9647940074906367,1335.0,18.714285714285715,48.0,0.0,3,1,2,2,4wZ3tPE+JOSoClShzCOSg/CW3qwH78rsVJUgtdZYQA4=
31,160,5.161290322580645,34,1.096774193548387,23,0.7419354838709677,24,0.7741935483870968,1138,36.70967741935484,1218,39.29032258064516,306035.566,9872.115032258063,1379,44.483870967741936,0.11602610587382162,0.8252356780275562,1379.0,19.161290322580644,46.0,2.0,3,1,2,2,970caGq49hkreLQL2LUil1HzYdxprT9mWYSFqYlHKKw=
5,2,0.4,0,0.0,0,0.0,0,0.0,72,14.4,55,11.0,19167.32,3833.464,74,14.8,0.02702702702702703,0.972972972972973,74.0,22.4,54.0,4.0,3,1,2,2,5wZEDcmqqLXFrVQ2pHU3yelprFwUi2QXPElAsy2BTw8=
17,37,2.176470588235294,3,0.17647058823529413,5,0.29411764705882354,8,0.47058823529411764,480,28.235294117647058,445,26.176470588235293,125812.45199999999,7400.732470588236,533,31.352941176470587,0.06941838649155722,0.900562851782364,533.0,18.470588235294116,42.0,0.0,3,1,2,2,o39tgtZpBTkHDB7heZxPU+o2fc82S1UNblAcbsrTSgw=
15,38,2.533333333333333,17,1.1333333333333333,5,0.3333333333333333,5,0.3333333333333333,210,14.0,147,9.8,56122.147000000004,3741.476466666667,275,18.333333333333332,0.13818181818181818,0.7636363636363637,275.0,23.866666666666667,54.0,4.0,3,1,2,2,a9uMrT7hBxN/0ibmpEhsnUjKOuSce0cmjts9NT62fiQ=
15,108,7.2,56,3.7333333333333334,27,1.8,15,1.0,248,16.533333333333335,417,27.8,105012.024,7000.801599999998,454,30.266666666666666,0.23788546255506607,0.5462555066079295,454.0,11.066666666666666,28.0,2.0,3,1,2,2,rjkdxGkDG7j1GIY2DPnwP39cQPUWuRGr17/BW8wEcs0=
31,163,5.258064516129032,50,1.6129032258064515,12,0.3870967741935484,17,0.5483870967741935,536,17.29032258064516,663,21.387096774193548,151325.72900000002,4881.475129032258,778,25.096774193548388,0.2095115681233933,0.6889460154241646,778.0,20.322580645161292,50.0,2.0,3,1,2,2,ql+ouoT4qwYxqCsEjnMNVIJsvTKgOjIxDNVqB90ZQRc=
3,9,3.0,1,0.3333333333333333,3,1.0,69,23.0,75,25.0,64,21.333333333333332,24916.932,8305.644,157,52.333333333333336,0.05732484076433121,0.47770700636942676,157.0,28.666666666666668,44.0,0.0,1,1,2,2,a0P4tqwGi5pQfMWS5uiOyi4x6dYzR1hIK5OLbB0i6tM=
13,35,2.6923076923076925,22,1.6923076923076923,14,1.0769230769230769,14,1.0769230769230769,292,22.46153846153846,336,25.846153846153847,75388.488,5799.114461538463,377,29.0,0.09283819628647215,0.7745358090185677,377.0,26.76923076923077,52.0,4.0,3,1,2,2,tjdunLI6WX4OMzkutLUIpqudMXeLR9WudeXpU4wH6W0=
11,31,2.8181818181818183,17,1.5454545454545454,8,0.7272727272727273,8,0.7272727272727273,139,12.636363636363637,88,8.0,34282.185000000005,3116.5622727272726,203,18.454545454545453,0.15270935960591134,0.6847290640394089,203.0,22.181818181818183,56.0,2.0,3,1,2,2,IgZ/wvBA0CXM9Kz6LU5LjmUObgRouBihPaFLWem65xU=
27,34,1.2592592592592593,11,0.4074074074074074,11,0.4074074074074074,8,0.2962962962962963,969,35.888888888888886,597,22.11111111111111,255986.39,9480.977407407408,1033,38.25925925925926,0.03291384317521781,0.9380445304937076,1033.0,21.25925925925926,52.0,2.0,3,1,2,2,RwvYS1CA+mevR11MCZPPelWfleifHoyhau3l/+QeYgk=
7,1,0.14285714285714285,2,0.2857142857142857,2,0.2857142857142857,2,0.2857142857142857,13,1.8571428571428572,12,1.7142857142857142,3317.2579999999994,473.8939999999999,20,2.857142857142857,0.05,0.65,20.0,12.0,26.0,2.0,3,1,2,2,cndW49GdGYMOhTDpptFDBbPMUMqj9qdxODGOo4lwDrw=
28,134,4.785714285714286,35,1.25,34,1.2142857142857142,22,0.7857142857142857,819,29.25,816,29.142857142857142,215917.35499999995,7711.334107142857,1044,37.285714285714285,0.12835249042145594,0.7844827586206896,1044.0,23.214285714285715,54.0,2.0,3,1,2,2,ZmG8wRXnM4BcVZycPzm34RUrV6DIuUoeTsAcRw8ZS7I=
31,699,22.548387096774192,119,3.838709677419355,108,3.4838709677419355,119,3.838709677419355,1433,46.225806451612904,2116,68.25806451612904,419200.18100000004,13522.58648387097,2478,79.93548387096774,0.2820823244552058,0.5782889426957224,2478.0,19.225806451612904,56.0,0.0,3,1,2,2,jYFGw8YF0qMyC4rz1mq5s5Uhhpirm+2mOmXvCvcGpC8=
29,338,11.655172413793103,27,0.9310344827586207,28,0.9655172413793104,29,1.0,940,32.41379310344828,1247,43.0,225836.816,7787.476413793103,1362,46.96551724137931,0.24816446402349487,0.6901615271659325,1362.0,16.896551724137932,48.0,0.0,3,1,2,2,QzRW0I/0YvMjDNEJGmHlWRMcah84mQLJORKk8nS8ClY=
26,29,1.1153846153846154,5,0.19230769230769232,6,0.23076923076923078,4,0.15384615384615385,511,19.653846153846153,525,20.192307692307693,140548.497,5405.711423076923,555,21.346153846153847,0.05225225225225225,0.9207207207207208,555.0,24.153846153846153,52.0,0.0,3,1,2,2,AA8nJd19ogvKgJRn8XSplAy56UZWj/L33Z9JmsshNVE=
