msno,city,bd,gender,registered_via,days,season
7Bx3zw0JFFwCXjkWgqhMxnQQLzy7Idmc+J1qXU8GhAY=,13,25.0,female,9,3,4
OFhJwMVNuJKYC6MNLmCulVSJatkQ1ZexipKpyujQa4c=,5,,female,9,3,4
OFjgd4O5aCzXBFosKhGhqB8bKEgtV/9RQSN28yPtGHk=,1,,,7,2,1
G7Zl2XAspwOaYJLlKK3FLmgypn3qYeGFKC/9WbczS+0=,4,43.0,female,7,3,2
7v4BtQAEWazr9JYq5iqbNtWp0SNTNgKTBNZ0z+9CGEM=,15,21.0,female,3,3,2
u+WZZ2Krx0UKt84Ybh/cm2bvGTJ4/UIZ5XmNxNSOLQk=,4,28.0,female,9,2,1
caGU+95LX9FI/Om209xn0LMKvOf9PuDgvK8paFCDyOk=,5,27.0,,9,2,2
+HrxOQaFgX6NWdFPYukNqr5Ud749/a/Z/txn+c+MJEI=,15,,,9,2,1
CxKIZcJY75vsiUlfeO9/J1Ld8fdAi3Y3JEK+ig7sXGQ=,1,,,4,3,4
CAFHFJ5R3K32rQHKxwRamDwGZTQNOHik+P3+1ttV7kQ=,1,,,7,3,3
xqAZORwWLxUpynzHFoEcCAn7fyOS6e2M7bsDfwijW4g=,13,32.0,male,7,3,4
D2xql4Q2zJZu8mS+gjf1pecv47jIexrvUXaj0vY/bIw=,5,43.0,female,9,2,4
w2O0vchmncaBEQLoC5Pn7qRoSPiJ6X2x5O+woVFDhnY=,13,,,9,1,3
U5tbvceawNGN1XKTnVUWIWzXx5VTi1wtd8wTPQNecBw=,1,,,7,2,1
9xbBiLUqUp5O6f265+QFjJC5KsQgEp2fGFpMml5I/AU=,3,37.0,female,7,2,4
QGaFIiqfUJMwLX81Tux1ea1uibNBB+HTiUCVOCnGmkQ=,1,,,7,3,4
7xNkNoVMi3Sm40SjyZ8IA3OHP6/+KJUEIBY7Zfeul18=,13,31.0,male,9,3,4
XH34I/IhCGbN9KimZLXsopCZn3iSUXd3S9iBafxdHZg=,1,,,4,1,1
EflzwWuPdSe46cZSHxL5Ha+A214hKTICMDw5Aqf540E=,14,32.0,male,3,1,1
yX5+R12PKUNcnk/TJEZlOTJ7VEsEk3AfK771BdD7FAM=,1,,,7,1,4
HN5BbCoYUmKZ7BfzevD/z1oXp78xwayH1JQAbrWhwRU=,15,17.0,male,4,3,3
wThsaVNwbYxSNUUD+VJx1mhrhsoErX5rMOneTleapvk=,6,37.0,male,9,2,2
