msno,city,bd,gender,registered_via,registration_init_time
PidRl8DPHnrnaRAXs0hANSziHN3YsYTTNtTxS0Wm2T8=,5,26,female,9,20070418
OMvOOgSWIt0d0oXGb2z8ycz6yxV4/VY000B9ErSYTYs=,4,25,male,9,20090213
O0E6ecmcpgJESuwYptBSLFEcTaaZ4Z8Yh89ImzxL9Zs=,5,29,female,9,20080126
NNrHMALWVJ5I0JGbTRNlF84fhzvKpU6tKso0Qfc0bxc=,1,0,,7,20110316
RYE+q2GPR3BBCpjLx1ARmTeSdMOQHbuF9ssZ8ZjoRrU=,1,0,,7,20160721
Rqz3xK92fbVn1Ax/Z1WI9W2Nbv3QVeaeWQtmFm6BmAY=,1,0,,7,20161017
Q9Lie+RnxsCD8yS4djGgzumPAW5ubYrLf9LzzJ/SlNc=,22,30,male,9,20110402
SGiSE3zvmnfsei2adKx+WUj+I2+aV5yYJyHkWFrrcZI=,6,29,male,9,20070609
LgkkfbHk2V+ZocMEh0+3mq2oLdylmP8gtuaD7JnpN/4=,21,21,male,9,20120516
OKg+TJLr7p00MxSriRRqcwRDxqdisUwamB//SH4tOmA=,1,0,,7,20131208
MZbFvR6v1edgG6FdDsRJ10IkIUFGiDuUndrSBXqmcWU=,5,27,male,3,20131225
QsDmUcvtQjimc4vNF8qQ0tE09I3sSfE6HNNs1cYNFo4=,13,42,female,3,20130618
RcuO1utV/sUkYKHJIy3R4+47fkaQba9toLTSVrwVV/w=,1,28,female,7,20130705
LEnVoTuu6KDG/yvr+2Qc52f/X+RC/gpMyFhu050mIVw=,4,23,male,3,20150814
QwwWSa+OgtE/EveHgi5gst0yjgd1gYNma7TAxwYZAkg=,4,27,female,9,20101109
Ru6Zvf7/ocfphgVAlztOCKcbjGlFhKbPcTp5yEudqQ8=,5,33,female,3,20121030
UGo5J85Z7/EGIerhagQ/BwgpuXz0P8xxgLQ/IfmxYGA=,5,22,female,3,20140528
Ljl2Xd7MhTkuT2FTcmt8Y5vLbj+KwLDkNy8HiSdCS7w=,4,21,female,3,20140612
M5t6w/+nlnVIDzSDnYA3vQloE+BIuO432xsu92bHKN8=,1,0,,7,20150921
SW6U9y+nrsDJcW5Of8RvgzPXNSYo09x4NM9hJX7WWkM=,1,0,,7,20140620
SRNCNFNcyq2ii1DILsweIJe52NuOGxGhrqq5XNkcA2E=,14,27,male,3,20141030
SksagsHWe9L0G/97YjxVFbnIl3SE0p39k5PaqpHAEx0=,22,21,male,9,20110720
LnFWGC7sGklHiymKBvsCBVtO9KoNBjWsDORHKeuUveQ=,13,26,male,9,20070306
LXPOsixjHdeDilrsJLvCP2JZODsfipCG8qgGHCt8MnI=,4,39,male,9,20070818
LjCEFzhWbW3cYGZuWz40xilT/Nr1vmdiFc+ZppEec4I=,4,28,,7,20100921
