msno,is_churn,city,bd,gender,registered_via,years_using
zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,0,4.0,48.0,female,9.0,3.0
zzxi7n5xoTYo9Q3VTygLWvl/rBDcexwaeAry0yK7Q0E=,0,,,,,
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,0,4.0,24.0,male,7.0,5.0
zzxPS8+wCuE4HE85EDp4WBHgS5l548vfwXJbQq1HZ9I=,0,22.0,27.0,female,9.0,10.0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,0,1.0,,,7.0,6.0
zzx1qgX8R9EmT8PAn4/KyQ6s7PuLYTfR8kUCABiCW9E=,0,6.0,31.0,male,9.0,3.0
zzwsW1MnZalh6V5BwYE+V6hFWyKJYOf+rFd+SWVXxp8=,0,1.0,,,7.0,2.0
zzwlIVmSuehTevzOi+WkcC7b3+MBYDiE4qybszTyhII=,0,13.0,25.0,male,4.0,1.0
zzwimfmJBJ4SrRw3bYXQzE9UrizlSE10yI7dHPvG5xM=,0,18.0,43.0,female,7.0,1.0
zzvhQSh5Xs6/9DO+wUTtEbSZRBHjGIpHMOP2kVMrXmk=,0,1.0,,,7.0,1.0
zzvZ4AqXwz9Yh2nyExvdWL3YxRVvFLLotZaLXJL6Hik=,0,,,,,
zzvB5JRK4WBwtKJoNtnNF34r5dUAuenPpR9xrxdfMSI=,0,1.0,,,7.0,4.0
zzv2n8+r3LGI4gFp6c4hpseYdfHrl829IY3IlA0BF4Q=,0,13.0,,,7.0,4.0
zzv/igs0VigNppe7WR8qgz1h6aXFFzQLu5paAswIbcQ=,0,14.0,33.0,male,9.0,11.0
zzuiTQN9MP4dT+mVTYuaFGeQwum5iIkUW56LyzPi4gA=,0,,,,,
zzuGxQfF86Zsx5nqF1Yh+oJpEIfdjFKKYpTqFZMdxzk=,0,22.0,30.0,male,9.0,12.0
zztg1DNR0a6n+9+CXd8WAfNZHsl5VvyYC2ngeXlwpkc=,0,22.0,18.0,male,3.0,2.0
zztRj67GpP0kdrpfKJ4X4bUrF+ljVCkR0K8cRDIbzRI=,0,1.0,,,7.0,1.0
zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,0,3.0,29.0,male,9.0,10.0
zzt4LinfZVgufjQc8MVgTz9CwxB9pJtNJDnk3d3F7Ac=,0,13.0,20.0,male,9.0,6.0
zzsusjoGJ6jH+qVF5cMfJGphBO7MR4P4P1rD7qxITX0=,0,4.0,26.0,female,9.0,5.0
zzsIerQnY70zKAgAD1GSB89LFnfIxXwXO+FBJEyMbDo=,0,1.0,,,7.0,1.0
zzrd7DiMe4a9EIUBeIKSUxpblomhiBE3DvaC32fMl7o=,0,13.0,20.0,female,4.0,1.0
zzqv/DjiJJFlfDEeaja2Cq7cvVWz++pwIaJ6SAM42sw=,0,1.0,,,7.0,4.0
