msno,is_churn
f/NmvEzHfhINFEYZTR05prUdr+E+3+oewvweYz9cCQE=,1
zLo9f73nGGT1p21ltZC3ChiRnAVvgibMyazbCxvWPcg=,1
K6fja4+jmoZ5xG6BypqX80Uw/XKpMgrEMdG2edFOxnA=,1
ibIHVYBqxGwrSExE63/omeDD99M5vYB3CN2HzkEY+eM=,1
moRTKhKIDvb+C8ZHOgmaF4dXMLk0jOn65d7a8tQ2Eds=,1
dW/tPZMDh2Oz/ksduEctJbsz0MXw3kay/1AlZCq3EbI=,1
otEcMhAX3mU4gumUSogqgteN3oaNmhdmTkoof2iRYEE=,1
t5rqTxCnG7s5VBgEfdkQCezv5KBK7+DMujNibYgylrs=,1
dfLS2/Pom6O3iUpo+mf/K1Bc6g+7LFKzoNf+zlJtDoQ=,1
a7AtvhlY8KnKZGpiVe+4HhFerqTEgmno3x7Rc7YGwzw=,1
F45GsXJIeLvzUJqz/v4R/6CVYPdek7K4Leu+aqbCRo8=,1
/L2095JD4M/BNLTCboucgyuT2i8JIiJ87bOIsxtFvBw=,1
1AzXWFlRO6EfMBzfBdk98sBVnjzY7U1G24mVFNdzGNQ=,1
w2O0vchmncaBEQLoC5Pn7qRoSPiJ6X2x5O+woVFDhnY=,1
nGmbdyGVU+LCI2SXyYosErJCCYp371hQNP91BpP2d2I=,1
ePx+sYifOKWLbG1fC8Gy2rjlg92Z7+Blxj94zzyC2+g=,1
TotbNxPUifAoL9diWEMXcRnBgKDStI/a/SdXcf5WhfQ=,1
wLtPucL8EyK8yUp+F9J1S8Ad/D9CRA8kSB0maalwzjE=,1
rdo4D3m1pjcjKetV5Q9pZV17Aj48asG/n68oTCp8wF4=,1
vB93EXVDcHOpGgK7K7dK+XyGS3t51TxKO4G6Yoq/gls=,1
L9W/dW7SdNQD2ve5egWKsXdBNKL0+3lFyG4FDXZMvpM=,1
ec8IfcFcaF5NBLMnFzyRcnAMUmgZ46kHw7P1qHEm0o0=,1
/66xO0tgKHeHrtaULlc3sOtEysp2v2y+kjcaqXScvyo=,1
LZjqFj4TwHsByrOSyjUp9l/B9WOF34HGX0Hx7uiQ5xQ=,1
Gqxxbi5kH6QflIs4kHIgLCxQ2ic64YtuJGL9bTr0jPo=,1
FXTWvnLLSZAYau0nbBFchRJjXjQNY0h5ZaIgVRsfHkA=,1
WpYNkiRMP3vgJRyq4TQzn7y8O0I7RWtXLXUorHClllg=,1
2OaV7/7vyAA2FrCkV4qXZEZYg5IzVyFNkQnQorgQ440=,1
VCZm6WJqkwDhmConNXKrPly5XJWE26zjE7FL9tlSqww=,1
A4rmf+FWZ60Ttm7sqK+PkJxpU75PKH3TiUtLLt5UXWY=,1
Dn+APxD82JfgrAVfvfxAJfDZ53iKHGyP1I9FofL/7uM=,1
dHKBDAvI+6a5zazRxM/NCyh4gxpJO3b1wgtuDNFmx+s=,1
pBXnYkKeo1HldqKCHfKN61EEwwEdZa4fD6c2AfK4a2k=,1
wX46D1vWL2z/hooi14ec+JxWDozPZHkPDALcjUrI7VU=,1
ogP6gr6Fr9GAkLEXgMYtypFcTOHudzJrCD/VDnhR6w8=,1
94zcjPEiJ4EuUcGeWt0AwYh1A+5WZh9OqekbG0raRWY=,1
prdUZGxqqZsogFuP8mUe+2ty4g2lsXn7wHtIMJUqPV8=,1
07BqZinAC48xGnZjsnufxMnduRW0M3Tcs7hTK62ygTs=,1
9JzSBttiM01GFi7KjlL9pQz8vQyyvga1o5SbPMMFQXU=,1
GgioFqim8so7dmPzybdXbObnn3c9e1T7LaPCEpMcVOY=,1
z/7ngw+t+95wOC/87OociYkLYS/Yxmw+hhvAjKCLkDU=,1
Ym/ZP1Wl1oMsxFArVmmBtQ13S17ltBRsMi4UR7Vo7jI=,1
HpcX2PjJUAwLxsjs2XpRAme3RY/c2sxukljHLADaqXg=,1
oMECEU07r5P6ND9mayVJIVTI9RUixz8YVvaivaDYWvI=,1
alu7Qp5e+1KSZlKKb4SUWQPFtvxO8OA3HbwLF9wHPSY=,1
W7YiFJW+oHeMthKTtLNcUVjMU9ccjIGsAkfFC+M4x4Q=,1
2l0VkVyZk8+TEN2fiOfufZjqZ69MGmLL4hS3VBXtOHY=,1
gBvtDgelrg/Ci2pm1fd5dS9b2pfyYcNDMtoFZ6tl07k=,1
bCMGwW99lf9xWK3tigLS8MvlxBl/1R6C8qmo5wefHuY=,1
qZNye+Wypwm3vTZjnPOa5CD5FqTvTxxBaY8J9SakD+w=,1
Q9usvyRqcdaOr3RwXeT+RYffQEvcFeUa6kmXUb9QvDQ=,1
7MqiEI7pQCqVXrTMwcAcJY18EamXTd/JCgM+P4moWJk=,1
7xNkNoVMi3Sm40SjyZ8IA3OHP6/+KJUEIBY7Zfeul18=,1
hrJ0NoC+BjSGu8bFqtvTNvSoA8uRdm93CYJg7LYS5KE=,1
i4g6DQpmkTuRCS6/osUsQ8GSBJM8261is4Q04NDGRPk=,1
+3KltBa/1dUuXwOzDKksw11Nwdwf7/pXv47sDv4mInY=,1
zrhQzWz7XjGSZm7lbR2N3sNHqjdcBWW7R+vb1MyKfGU=,1
iaLBc5xV/L1jwyqW4budcqGY/uIrW7WwK0007FYKK9k=,1
Ntw1a1IuWa3MTKfyGJNPhbLFH9r8H7XOrL+++zHWS84=,1
mcV/qioSuln14qLwR5Oa+2xiRVb2Gpa/vQRAOdDPPAY=,1
DEiP0CFN1UW/3oekZQgEy5jFd95ySYEoej6Aink0TgM=,1
LtbEHGhygYEMThq2/u2BmzWal3ApSmd3oYLngkIsMtA=,1
LAhNf08NQPMiARJPnKjsfeXvCm36pytALhsaAOMP+Wk=,1
xSqLnGiOpwC2lCFRG0dSLdTius8+N2N5tFzFM5Bnz08=,1
f48Aoq4PybwXOz9zDfQQZcwm0MJ42so5IFKg8jqHHhc=,1
95WtSCKSp+i7GaCVzap3HsqTaYgx33XEMjODi2/3SGo=,1
x2TXPeELvLt6WwAZsFvKJMYPyqoerDqi3gBGvp4d+yU=,1
zV/w07lPKkUGr5lYKDSJFWCc1oRleYV/dq26ITPpkos=,1
BMAn2bazdPJoh/iYkmdTngIRHBDi1HBZZDinVqEtmX0=,1
vlviKvnTfkJTaKH7RAQ3GWdaXRP/P2HwU25M5ByDynE=,1
2w5AQGL6GOECvVrzsPXre3MeYg5SnTAt2UVsNfc7Tlo=,1
