msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
zzzN9thH22os1dRS0VHReY/8FTfGHOi86//d+wGGFsQ=,41,30,99,99,1,20161104,20161204,0
zzzN9thH22os1dRS0VHReY/8FTfGHOi86//d+wGGFsQ=,41,30,99,99,1,20161104,20161204,0
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,41,30,99,99,1,20161226,20170126,0
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,41,30,99,99,1,20161226,20170126,0
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,41,30,99,99,1,20160127,20160226,0
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,41,30,99,99,1,20160127,20160226,0
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,41,30,149,149,1,20150610,20150710,0
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,41,30,149,149,1,20150610,20150710,0
zzxPS8+wCuE4HE85EDp4WBHgS5l548vfwXJbQq1HZ9I=,39,30,149,149,1,20161130,20170110,0
zzxPS8+wCuE4HE85EDp4WBHgS5l548vfwXJbQq1HZ9I=,39,0,0,149,1,20150430,20150610,0
zzxPS8+wCuE4HE85EDp4WBHgS5l548vfwXJbQq1HZ9I=,39,0,0,149,1,20150430,20150610,0
zzxPS8+wCuE4HE85EDp4WBHgS5l548vfwXJbQq1HZ9I=,39,30,149,149,1,20161130,20170110,0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,41,30,149,149,1,20150622,20150723,0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,41,30,149,149,1,20150122,20150223,0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,41,30,149,149,1,20150622,20150723,0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,41,30,149,149,1,20161122,20161223,0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,41,30,149,149,1,20161122,20161223,0
zzx4hKiyR9XFEGAr7SAjcCPbKJCZ+IqegWL7dPjPwZk=,41,30,149,149,1,20150122,20150223,0
zzwsW1MnZalh6V5BwYE+V6hFWyKJYOf+rFd+SWVXxp8=,41,30,99,99,1,20160708,20160905,0
zzwsW1MnZalh6V5BwYE+V6hFWyKJYOf+rFd+SWVXxp8=,41,30,99,99,1,20160708,20160905,0
zzwimfmJBJ4SrRw3bYXQzE9UrizlSE10yI7dHPvG5xM=,41,30,99,99,1,20170119,20170219,0
zzwimfmJBJ4SrRw3bYXQzE9UrizlSE10yI7dHPvG5xM=,41,30,99,99,1,20170119,20170219,0
zzvhQSh5Xs6/9DO+wUTtEbSZRBHjGIpHMOP2kVMrXmk=,41,30,99,99,1,20170101,20170201,0
zzvhQSh5Xs6/9DO+wUTtEbSZRBHjGIpHMOP2kVMrXmk=,41,30,99,99,1,20170101,20170201,0
zzv2n8+r3LGI4gFp6c4hpseYdfHrl829IY3IlA0BF4Q=,31,30,149,149,1,20161031,20161130,0
zzv2n8+r3LGI4gFp6c4hpseYdfHrl829IY3IlA0BF4Q=,31,30,149,149,1,20161031,20161130,0
zzv2n8+r3LGI4gFp6c4hpseYdfHrl829IY3IlA0BF4Q=,31,0,0,149,1,20150831,20150930,0
zzv2n8+r3LGI4gFp6c4hpseYdfHrl829IY3IlA0BF4Q=,31,0,0,149,1,20150831,20150930,0
zzv/igs0VigNppe7WR8qgz1h6aXFFzQLu5paAswIbcQ=,34,30,149,149,1,20161231,20170131,0
zzv/igs0VigNppe7WR8qgz1h6aXFFzQLu5paAswIbcQ=,34,30,149,149,1,20161031,20161130,0
zzv/igs0VigNppe7WR8qgz1h6aXFFzQLu5paAswIbcQ=,34,30,149,149,1,20161031,20161130,0
zzv/igs0VigNppe7WR8qgz1h6aXFFzQLu5paAswIbcQ=,34,30,149,149,1,20161231,20170131,0
zzuGxQfF86Zsx5nqF1Yh+oJpEIfdjFKKYpTqFZMdxzk=,40,31,149,149,1,20150308,20150408,0
zzuGxQfF86Zsx5nqF1Yh+oJpEIfdjFKKYpTqFZMdxzk=,40,31,149,149,1,20150308,20150408,0
zzt4LinfZVgufjQc8MVgTz9CwxB9pJtNJDnk3d3F7Ac=,38,30,149,149,0,20150224,20150326,0
zzt4LinfZVgufjQc8MVgTz9CwxB9pJtNJDnk3d3F7Ac=,38,30,149,149,0,20150224,20150326,0
zzsusjoGJ6jH+qVF5cMfJGphBO7MR4P4P1rD7qxITX0=,40,30,149,149,1,20150712,20150811,0
zzsusjoGJ6jH+qVF5cMfJGphBO7MR4P4P1rD7qxITX0=,40,30,149,149,1,20150712,20150811,0
zzsumtyPQEJN7XNakERtaZiXsGmc786aWSHFScPfV5k=,38,30,149,149,0,20170120,20170219,0
zzsumtyPQEJN7XNakERtaZiXsGmc786aWSHFScPfV5k=,38,30,149,149,0,20170120,20170219,0
zzqv/DjiJJFlfDEeaja2Cq7cvVWz++pwIaJ6SAM42sw=,41,30,129,129,1,20151231,20160131,0
zzqv/DjiJJFlfDEeaja2Cq7cvVWz++pwIaJ6SAM42sw=,41,30,149,149,1,20161031,20161130,0
zzqv/DjiJJFlfDEeaja2Cq7cvVWz++pwIaJ6SAM42sw=,41,30,129,129,1,20151231,20160131,0
zzqv/DjiJJFlfDEeaja2Cq7cvVWz++pwIaJ6SAM42sw=,41,30,149,149,1,20161031,20161130,0
zzpTXKXmUXusfh8lgKDrPLEdQyNOvxl4a+PE0CwQIQU=,41,30,149,149,1,20150609,20150709,0
zzpTXKXmUXusfh8lgKDrPLEdQyNOvxl4a+PE0CwQIQU=,41,30,149,149,1,20160709,20160809,0
zzpTXKXmUXusfh8lgKDrPLEdQyNOvxl4a+PE0CwQIQU=,41,30,149,149,1,20150309,20150409,0
zzpTXKXmUXusfh8lgKDrPLEdQyNOvxl4a+PE0CwQIQU=,41,30,149,149,1,20150309,20150409,0
zzpTXKXmUXusfh8lgKDrPLEdQyNOvxl4a+PE0CwQIQU=,41,30,149,149,1,20150609,20150709,0
