msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
Jn2bF5XLZvwEoiMz2SHrMj76PbQ+Bxrv3eVHDCrDz38=,41,30,149,149,1,20161102,20161202,0
Jn2bF5XLZvwEoiMz2SHrMj76PbQ+Bxrv3eVHDCrDz38=,41,30,149,149,1,20161202,20170102,0
Jn2bF5XLZvwEoiMz2SHrMj76PbQ+Bxrv3eVHDCrDz38=,41,30,149,149,1,20170102,20170202,0
Jn3F4FofTdAa6+4nd7CzQBk+HYNUTCuiJ+KeCyeCSoo=,35,7,0,0,0,20160715,20160720,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20151210,20160111,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20151110,20151211,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160110,20160211,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160710,20160811,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,0,0,149,1,20150510,20150611,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20150610,20150711,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20150910,20151011,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20161010,20161111,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20170210,20170311,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160510,20160611,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160310,20160411,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160210,20160311,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20150710,20150811,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160410,20160511,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160910,20161011,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20160610,20160711,0
Jn3ZyzuFpvhx1T8Gy/N16+tx/7GKcU7P8+qDjvP7U+A=,41,30,149,149,1,20150110,20150211,0
JnBjxOwFq0iWt2+e/7S4B/6XCBT8L7PIabGXIZcaelA=,41,30,99,99,1,20170209,20170309,0
JnBjxOwFq0iWt2+e/7S4B/6XCBT8L7PIabGXIZcaelA=,41,30,99,99,1,20170109,20170209,0
JnBjxOwFq0iWt2+e/7S4B/6XCBT8L7PIabGXIZcaelA=,41,30,99,99,1,20161009,20161109,0
JnBjxOwFq0iWt2+e/7S4B/6XCBT8L7PIabGXIZcaelA=,41,30,99,99,1,20161109,20161209,0
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,33,0,0,149,1,20150930,20151031,0
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,33,30,149,149,1,20151130,20151231,0
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,33,30,149,149,1,20160229,20160331,0
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,33,30,149,149,1,20160703,20160703,1
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,33,30,149,149,1,20160430,20160531,0
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,36,30,180,180,0,20160706,20160805,0
JnCnOL+iI7pK+NE8rubphwqsHrU71Gs7wK2WasUKXSM=,33,30,149,149,1,20151231,20160131,0
