msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20161115,8,4,0,1,11,18,4574.66
zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20160714,4,1,2,1,8,16,2125.26
zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20151219,32,2,2,0,7,41,2528.733
zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20150526,1,2,1,0,4,8,1227.964
zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20150525,1,0,0,0,9,10,2514.73
zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20161114,2,2,0,0,0,4,241.514
zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20150312,1,0,0,1,1,3,518.781
zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20160308,2,0,1,2,19,16,5675.657
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150924,2,1,3,4,80,89,21709.139
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160630,0,0,0,1,67,22,15516.235
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150607,22,0,1,3,76,45,18841.915
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20151114,1,0,0,1,56,55,14955.249
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160105,2,4,1,2,118,92,30255.157
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160227,2,0,2,2,76,69,18947.114
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160428,0,0,0,1,11,12,3041.682
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150804,8,0,1,1,25,34,7230.967
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150401,2,0,0,2,13,17,3729.664
zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20170125,0,1,0,0,5,5,1310.392
zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20170125,4,3,6,2,27,36,8747.694
zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20150903,3,0,2,0,23,24,6640.119
zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20151225,0,0,0,0,6,6,1556.167
zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20161014,10,2,2,0,10,21,2937.048
zztGcSZznx0uMBvc0fTQVTfCzeS7Ho/otO2L/4FXs/w=,20150621,1,0,0,0,11,11,2547.539
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20161014,2,2,1,5,9,17,3359.1
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20170127,1,0,0,0,6,5,1755.044
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20161204,0,0,0,1,41,41,11162.273
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160607,2,1,0,0,6,8,1266.728
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160812,0,1,0,0,12,3,2146.832
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160409,11,1,1,0,5,17,1438.04
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20160130,3,6,1,1,54,38,15808.689
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20151026,2,0,0,0,16,18,4333.895
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150817,2,0,1,0,0,3,163.213
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150604,2,0,2,0,29,23,8072.5
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150411,3,2,2,2,8,11,2566.195
zzmb2gX4F9mK0G1+2YQ8pqdYrPizIo0o+MNUA9+5I1I=,20150212,1,2,0,3,7,12,2272.773
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20151125,2,0,0,1,62,34,16839.51
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20150508,0,0,0,0,3,3,780.33
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20161028,0,0,0,0,4,4,986.0
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20160822,1,0,1,0,7,2,2235.446
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20160620,0,2,0,2,23,20,6660.218
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20160331,0,0,0,0,3,3,858.828
zzm2UvJnzuTRkXaiaZHtbJwPG9jZQZkZxG0n4PYDTvw=,20161225,5,1,0,1,27,18,6859.847
