,msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,total,years,months,days
0,zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20161115,8,4,0,1,11,18,4574.66,24,2016,11,15
1,zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20160714,4,1,2,1,8,16,2125.26,16,2016,07,14
2,zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20151219,32,2,2,0,7,41,2528.7329999999997,43,2015,12,19
3,zzz4xr5LLzoxUqD6LfKiieCt8Or4dUWFQ0RA5gmkx8I=,20150526,1,2,1,0,4,8,1227.964,8,2015,05,26
4,zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20150525,1,0,0,0,9,10,2514.73,10,2015,05,25
5,zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20161114,2,2,0,0,0,4,241.514,4,2016,11,14
6,zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20150312,1,0,0,1,1,3,518.781,3,2015,03,12
7,zzz1Dc3P9s53HAowRTrm3fNsWju5yeN4YBfNDq7Z99Q=,20160308,2,0,1,2,19,16,5675.656999999999,24,2016,03,08
8,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150924,2,1,3,4,80,89,21709.139,90,2015,09,24
9,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160630,0,0,0,1,67,22,15516.235,68,2016,06,30
10,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150607,22,0,1,3,76,45,18841.915,102,2015,06,07
11,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20151114,1,0,0,1,56,55,14955.249,58,2015,11,14
12,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160105,2,4,1,2,118,92,30255.157000000003,127,2016,01,05
13,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160227,2,0,2,2,76,69,18947.113999999998,82,2016,02,27
14,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20160428,0,0,0,1,11,12,3041.6820000000002,12,2016,04,28
15,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150804,8,0,1,1,25,34,7230.967,35,2015,08,04
16,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20150401,2,0,0,2,13,17,3729.664,17,2015,04,01
17,zzxZeMFx2fjfKZigMnJa2w0EmloDbm8+8nTf/o/00GY=,20170125,0,1,0,0,5,5,1310.392,6,2017,01,25
